Europe%UK%Barclays; Global Rank 135,63660
Europe%UK%BG Group; Global Rank 136,63519
North America%US%Caterpillar; Global Rank 137,63380
North America%US%Walgreen; Global Rank 138,63014
Asia%Japan%Japan Tobacco; Global Rank 139,62922
Europe%France%Axa; Global Rank 140,62905
Europe%Sweden%Hennes & Mauritz; Global Rank 141,62180
North America%US%Priceline.com; Global Rank 142,62148
Asia%Japan%Nippon Telegraph & Telephone; Global Rank 143,62020
North America%US%Medtronic; Global Rank 144,61590
North America%US%E I Du Pont de Nemours; Global Rank 145,61482
North America%US%Morgan Stanley; Global Rank 146,61481
North America%US%Hewlett-Packard; Global Rank 147,61326
North America%US%Ford Motor; Global Rank 148,60554
Asia%Japan%Sumitomo Mitsui Financial; Global Rank 149,60539
Asia%South Korea%Hyundai Motor; Global Rank 150,60521
South America%Brazil%Bradesco; Global Rank 151,60411
Asia%Hong Kong%Sands China; Global Rank 152,60242
Europe%Switzerland%ABB; Global Rank 153,59746
North America%US%Monsanto; Global Rank 154,59719
North America%US%Metlife; Global Rank 155,59492
North America%US%Colgate-Palmolive; Global Rank 156,59464
North America%US%Abbott Laboratories; Global Rank 157,59424
North America%US%Dow Chemical; Global Rank 158,58769
North America%US%Mondelez International; Global Rank 159,58769
Europe%UK%Reckitt Benckiser; Global Rank 160,58683
Australia%Australia%Telstra; Global Rank 161,58586
North America%US%Time Warner; Global Rank 162,58318
North America%US%Express Scripts; Global Rank 163,58233
Europe%Sweden%Nordea Bank; Global Rank 164,57343
Asia%Hong Kong%AIA Group; Global Rank 165,57138
North America%US%Celgene; Global Rank 166,56680
Asia%Hong Kong%Hutchison Whampoa; Global Rank 167,56445
Europe%France%Airbus; Global Rank 168,56144
North America%US%EMC; Global Rank 169,55571
North America%US%Starbucks; Global Rank 170,55468
Europe%Italy%Intesa Sanpaolo; Global Rank 171,55228
Asia%China%Ping An Insurance; Global Rank 172,54855
North America%US%General Motors; Global Rank 173,54721
Europe%Netherlands%ING; Global Rank 174,54397
Europe%UK%Prudential; Global Rank 175,54151
North America%US%EOG Resources; Global Rank 176,53579
Europe%Russia%Sberbank of Russia; Global Rank 177,53397
Europe%Italy%Enel; Global Rank 178,53240
Europe%Italy%Unicredit; Global Rank 179,52978
North America%US%Blackrock; Global Rank 180,52678
North America%US%Danaher; Global Rank 181,52386
North America%US%Nike; Global Rank 182,52258
North America%US%Lockheed Martin; Global Rank 183,52117
Asia%Japan%KDDI; Global Rank 184,52049
Europe%Denmark%A P Moller - Maersk; Global Rank 185,51729
Europe%Switzerland%Credit Suisse Group; Global Rank 186,51660
North America%US%Simon Property Group; Global Rank 187,51537
North America%Canada%Suncor Energy; Global Rank 188,51462
Europe%France%Schneider Electric; Global Rank 189,51366
Europe%UK%National Grid; Global Rank 190,51121
North America%US%Texas Instruments; Global Rank 191,51015
Europe%UK%Standard Chartered; Global Rank 192,50727
North America%US%Accenture; Global Rank 193,50468
Asia%India%Reliance Industries; Global Rank 194,50368
North America%US%Duke Energy; Global Rank 195,50349
North America%US%Halliburton; Global Rank 196,50108
Europe%UK%BT Group; Global Rank 197,50100
Europe%Switzerland%Richemont; Global Rank 198,49876
North America%US%Lowe's Companies; Global Rank 199,49818
Europe%France%Societe Generale; Global Rank 200,49212
North America%US%Costco Wholesale; Global Rank 201,49126
Asia%Israel%Teva Pharmaceutical; Global Rank 202,48972
North America%US%LyondellBasell Industries; Global Rank 203,48292
Europe%Germany%Continental; Global Rank 204,48183
Asia%Japan%Mizuho Financial Group; Global Rank 205,48029
Europe%Russia%Lukoil; Global Rank 206,47444
North America%US%Thermo Fisher Scientific; Global Rank 207,47109
Asia%India%ITC; Global Rank 208,46989
North America%US%Emerson Electric; Global Rank 209,46959
Asia%China%Bank of Communications; Global Rank 210,46745
North America%Canada%Canadian National Railway; Global Rank 211,46522
Asia%China%China Shenhua Energy; Global Rank 212,46493
North America%US%PNC Financial Services; Global Rank 213,46464
Asia%Singapore%Singapore Telecom; Global Rank 214,46276
Africa%South Africa%Naspers; Global Rank 215,45926
South America%Mexico%AMX; Global Rank 216,45783
Europe%Germany%Deutsche Bank; Global Rank 217,45764
Europe%Switzerland%Zurich Financial Services; Global Rank 218,45746
Asia%India%Oil & Natural Gas; Global Rank 219,45655
Europe%Germany%Henkel; Global Rank 220,45537
Europe%Germany%Deutsche Post; Global Rank 221,45248
Europe%France%Vinci; Global Rank 222,44866
Europe%France%Danone; Global Rank 223,44642
Europe%Spain%Iberdrola; Global Rank 224,44588
North America%US%Capital One Financial; Global Rank 225,44194
North America%Canada%Valeant Pharmaceuticals International; Global Rank 226,44126
Europe%Sweden%Ericsson; Global Rank 227,43763
North America%US%Phillips 66; Global Rank 228,43708
Australia%Australia%Wesfarmers; Global Rank 229,43646
North America%US%Anadarko Petroleum; Global Rank 230,43404
North America%Canada%Bank of Montreal; Global Rank 231,43202
North America%US%TJX Cos; Global Rank 232,43134
Asia%Hong Kong%Jardine Matheson; Global Rank 233,42932
Asia%Japan%Denso; Global Rank 234,42476
Europe%France%Air Liquide; Global Rank 235,42410
Asia%Japan%Fanuc; Global Rank 236,42339
North America%Canada%Canadian Natural Resources; Global Rank 237,41869
South America%Mexico%Walmex; Global Rank 238,41799
North America%US%Kimberly-Clark; Global Rank 239,41750
North America%US%Nextera Energy; Global Rank 240,41631
Australia%Australia%Woolworths; Global Rank 241,41538
Europe%Netherlands%Asml Holding; Global Rank 242,41402
Asia%Japan%Canon; Global Rank 243,41327
North America%US%Dominion Resources; Global Rank 244,41288
Asia%China%China Merchants Bank; Global Rank 245,40900
North America%US%McKesson; Global Rank 246,40633
Asia%Japan%Nissan Motor; Global Rank 247,40385
Asia%Hong Kong%Jardine Strategic; Global Rank 248,40174
Europe%Netherlands%Heineken; Global Rank 249,40106
North America%US%Bank of New York Mellon; Global Rank 250,40063
Europe%UK%Tesco; Global Rank 251,39874
North America%US%Baxter International; Global Rank 252,39802
North America%Canada%Imperial Oil; Global Rank 253,39533
Europe%France%Credit Agricole; Global Rank 254,39460
Europe%Germany%Munich Re; Global Rank 255,39341
North America%US%Fedex; Global Rank 256,39174
Europe%France%Orange; Global Rank 257,39136
Europe%Germany%E On; Global Rank 258,39035
North America%US%Liberty Global; Global Rank 259,39024
North America%US%Prudential Financial; Global Rank 260,39022
North America%US%Southern; Global Rank 261,39016
North America%US%DirecTV; Global Rank 262,38971
Europe%UK%Imperial Tobacco; Global Rank 263,38824
Asia%Japan%Fast Retailing; Global Rank 264,38558
North America%US%Praxair; Global Rank 265,38433
Asia%Hong Kong%Cheung Kong; Global Rank 266,38398
Africa%South Africa%MTN Group; Global Rank 267,38368
North America%US%Target; Global Rank 268,38313
North America%US%Time Warner Cable; Global Rank 269,38061
North America%Canada%Enbridge; Global Rank 270,37830
Asia%Japan%Takeda Pharmaceutical; Global Rank 271,37511
North America%US%General Dynamics; Global Rank 272,37478
Europe%France%Vivendi; Global Rank 273,37332
North America%US%Automatic Data Processing; Global Rank 274,37226
Europe%Germany%Linde; Global Rank 275,37216
Asia%Taiwan%Hon Hai Precision Industry; Global Rank 276,37206
North America%US%Allergan; Global Rank 277,37119
Asia%Hong Kong%Galaxy Entertainment; Global Rank 278,36766
North America%US%Precision Castparts; Global Rank 279,36708
Europe%UK%Associated British Foods; Global Rank 280,36705
Africa%South Africa%Sasol; Global Rank 281,36434
North America%US%Yahoo; Global Rank 282,36237
North America%US%Sprint; Global Rank 283,36171
Asia%Qatar%Qatar National Bank; Global Rank 284,36051
North America%US%Actavis; Global Rank 285,35920
Asia%Japan%Hitachi; Global Rank 286,35763
North America%US%Eaton; Global Rank 287,35754
North America%Canada%Manulife Financial; Global Rank 288,35715
North America%US%Charles Schwab; Global Rank 289,35541
Europe%UK%Anglo American; Global Rank 290,35483
Europe%Switzerland%Syngenta; Global Rank 291,35244
Asia%Saudi Arabia%Saudi Telecom; Global Rank 292,35197
Europe%France%Christian Dior; Global Rank 293,35002
Europe%Sweden%Atlas Copco; Global Rank 294,34836
North America%US%Salesforce.com; Global Rank 295,34831
Europe%Italy%Generali; Global Rank 296,34718
Europe%Switzerland%Swiss RE; Global Rank 297,34392
North America%US%Freeport-McMoran Copper & Gold; Global Rank 298,34340
North America%Canada%CIBC; Global Rank 299,34334
North America%US%CBS; Global Rank 300,34256
North America%US%Franklin Resources; Global Rank 301,34179
North America%US%Illinois Tool Works; Global Rank 302,34147
Asia%Japan%Seven & I Holding; Global Rank 303,33948
Europe%Sweden%Volvo; Global Rank 304,33866
Europe%Spain%Repsol; Global Rank 305,33817
Europe%Switzerland%Swatch Group; Global Rank 306,33736
Europe%UK%Rolls-Royce; Global Rank 307,33668
Asia%China%China Minsheng Banking; Global Rank 308,33622
Europe%Norway%Telenor; Global Rank 309,33615
North America%US%Deere; Global Rank 310,33569
Europe%France%Saint Gobain; Global Rank 311,33552
North America%Canada%BCE; Global Rank 312,33518
Europe%Netherlands/UK%Reed Elsevier; Global Rank 313,33511
North America%US%Kinder Morgan; Global Rank 314,33487
North America%US%Kraft Foods Group; Global Rank 315,33448
North America%US%National Oilwell Varco; Global Rank 316,33369
North America%US%Ace; Global Rank 317,33349
North America%US%Yum! Brands; Global Rank 318,33318
North America%US%Covidien; Global Rank 319,33170
Asia%Hong Kong%Sun Hung Kai Properties; Global Rank 320,33122
Asia%Japan%Mitsubishi Estate; Global Rank 321,33023
Europe%Netherlands%Philips Electronics; Global Rank 322,32967
North America%US%Apache; Global Rank 323,32742
North America%US%Adobe Systems; Global Rank 324,32721
Europe%Spain%CaixaBank; Global Rank 325,32686
Europe%Sweden%TeliaSonera; Global Rank 326,32591
North America%US%Ecolab; Global Rank 327,32493
Europe%UK%Royal Bank of Scotland; Global Rank 328,32361
North America%US%American Tower; Global Rank 329,32340
Asia%China%China Citic Bank; Global Rank 330,32333
North America%Canada%Transcanada; Global Rank 331,32215
Europe%Russia%Surgutneftegas; Global Rank 332,31865
Europe%Switzerland%Swisscom; Global Rank 333,31844
North America%US%General Mills; Global Rank 334,31843
South America%Mexico%Femsa; Global Rank 335,31653
Asia%Singapore%DBS Group; Global Rank 336,31512
North America%US%Johnson Controls; Global Rank 337,31422
Asia%India%Infosys Technologies; Global Rank 338,31409
Asia%Hong Kong%China Unicom; Global Rank 339,31275
Europe%Sweden%Svenska Handelsbanken; Global Rank 340,31256
Australia%Australia%CSL; Global Rank 341,31179
North America%US%Raytheon; Global Rank 342,31070
Asia%Qatar%Industries Qatar; Global Rank 343,30971
Europe%France%Pernod-Ricard; Global Rank 344,30911
North America%Canada%Potash Corporation of Saskatchewan; Global Rank 345,30854
North America%US%Stryker; Global Rank 346,30812
Asia%Japan%Mitsubishi; Global Rank 347,30763
North America%US%Cognizant Technology Solutions; Global Rank 348,30736
Asia%Hong Kong%Hang Seng Bank; Global Rank 349,30438
Europe%Russia%Novatek; Global Rank 350,30330
Europe%Sweden%Swedbank; Global Rank 351,30327
Asia%Hong Kong%Boc Hong Kong; Global Rank 352,30122
North America%US%Norfolk Southern; Global Rank 353,30099
North America%US%Alexion Pharmaceuticals; Global Rank 354,30096
Asia%India%HDFC Bank; Global Rank 355,30079
North America%US%State Street; Global Rank 356,30020
North America%US%Travelers Cos.; Global Rank 357,29983
Asia%Saudi Arabia%Al Rajhi Bank; Global Rank 358,29897
Australia%Australia%Woodside Petroleum; Global Rank 359,29797
Europe%Sweden%SEB; Global Rank 360,29738
North America%Canada%Husky Energy; Global Rank 361,29547
North America%US%Delta Air Lines; Global Rank 362,29431
North America%US/UK%Carnival; Global Rank 363,29419
North America%US%Regeneron Pharmaceuticals; Global Rank 364,29400
Asia%Japan%East Japan Railway; Global Rank 365,29173
Asia%China%Industrial Bank; Global Rank 366,29170
Asia%China%Shanghai Pudong Development Bank; Global Rank 367,29159
North America%US%CSX; Global Rank 368,29126
North America%US%Public Storage; Global Rank 369,29032
