Chemicals%US%Ecolab,32492.61,327
Chemicals%US%LyondellBasell Industries,48292.13,203
Chemicals%US%PPG Industries,26828.12,413
Chemicals%US%Praxair,38432.5,265
Construction & materials%France%Lafarge,22456.38,494
Construction & materials%France%Saint Gobain,33552.38,311
Construction & materials%France%Vinci,44865.66,222
Construction & materials%Switzerland%Holcim,27104.95,409
Electricity%France%EDF,73611.56,111
Electricity%Italy%Enel,53239.72,178
Electricity%Spain%Iberdrola,44588.17,224
Electricity%UK%Scottish & Southern Energy,23876.39,470
Electricity%US%American Electric Power,24712.97,449
Electricity%US%Dominion Resources,41288.07,244
Electricity%US%Exelon,28775,377
Electricity%US%Nextera Energy,41631.28,240
Electricity%US%Southern,39016.1,261
Electronic & electrical equipment%France%Schneider Electric,51365.94,189
Electronic & electrical equipment%Japan%Hitachi,35763.41,286
Electronic & electrical equipment%Japan%Keyence,25133.13,441
Electronic & electrical equipment%Taiwan%Hon Hai Precision Industry,37205.67,276
Electronic & electrical equipment%US%Emerson Electric,46959.41,209
Electronic & electrical equipment%US%TE Connectivity,24719.08,448
Financial services%Brazil%Cielo,25191.36,440
Financial services%Brazil%Itausa,23481.02,473
Financial services%Canada%Brookfield Asset Management,25536.2,434
Financial services%India%Housing Development Finance,23096.05,481
Financial services%Japan%Nomura,24571.86,454
Financial services%Sweden%Investor,27486.07,399
Financial services%US%American Express,95396.94,76
Financial services%US%Bank of New York Mellon,40062.93,250
Financial services%US%Blackrock,52678.12,180
Financial services%US%Capital One Financial,44193.91,225
Financial services%US%Charles Schwab,35541.47,289
Financial services%US%CME Group,24848.11,444
Financial services%US%Discover Financial Services,27324,403
Financial services%US%Franklin Resources,34179.18,301
Financial services%US%Goldman Sachs,74183.38,110
Financial services%US%Intercontinental Exchange,22769.22,486
Financial services%US%Mastercard,85253.94,95
Financial services%US%Morgan Stanley,61481,146
Financial services%US%State Street,30020.18,356
Financial services%US%Visa,108859.5,61
Fixed line telecommunications%Australia%Telstra,58586.15,161
Fixed line telecommunications%Brazil%Telef Brasil,22854.51,483
Fixed line telecommunications%Canada%BCE,33518.22,312
Fixed line telecommunications%Canada%Telus,22343.97,495
Fixed line telecommunications%France%Orange,39136.35,257
Fixed line telecommunications%Japan%Nippon Telegraph & Telephone,62019.67,143
Fixed line telecommunications%Saudi Arabia%Saudi Telecom,35196.69,292
Fixed line telecommunications%Spain%Telefonica,72038.12,117
Fixed line telecommunications%Switzerland%Swisscom,31843.51,333
Fixed line telecommunications%Taiwan%Chunghwa Telecom,23869.04,471
Fixed line telecommunications%UK%BT Group,50100.03,197
Fixed line telecommunications%US%AT&T,182604.1,26
Fixed line telecommunications%US%Verizon Communications,196939.7,22
Food & drug retailers%Australia%Woolworths,41538.24,241
Food & drug retailers%France%Carrefour,28033.69,389
Food & drug retailers%UK%Tesco,39873.59,251
Food & drug retailers%US%Cardinal Health,23995.33,465
Food & drug retailers%US%CVS Caremark,88972.44,88
Food & drug retailers%US%Kroger,22174.19,498
Food & drug retailers%US%McKesson,40633.47,246
Food & drug retailers%US%Walgreen,63014.46,138
Food producers%France%Danone,44641.85,223
Food producers%Netherlands%Unilever,118795.64,51
Food producers%Switzerland%Nestle,242954.87,11
Food producers%UK%Associated British Foods,36704.69,280
Food producers%US%Archer Daniels Midland,28453.6,382
Food producers%US%General Mills,31842.98,334
Food producers%US%Kellogg,22524.92,492
Food producers%US%Kraft Foods Group,33448.39,315
Food producers%US%Mondelez International,58768.71,159
Food producers%US%Monsanto,59718.9,154
"Gas, water & multiutilities%France%GDF Suez",66043.04,130
"Gas, water & multiutilities%Germany%E On",39034.53,258
"Gas, water & multiutilities%Germany%RWE",24558.99,455
"Gas, water & multiutilities%Spain%Gas Natural",28149.1,386
"Gas, water & multiutilities%UK%Centrica",27810.04,394
"Gas, water & multiutilities%UK%National Grid",51121.14,190
"Gas, water & multiutilities%US%Duke Energy",50349.3,195
"Gas, water & multiutilities%US%Sempra Energy",23720.86,472
"Gas, water & multiutilities%US%Spectra Energy",24756.12,445
General industrials%Germany%Siemens,118567.53,53
General industrials%Hong Kong%Hutchison Whampoa,56445.2,167
General industrials%Hong Kong%Jardine Matheson,42931.62,233
General industrials%Hong Kong%Jardine Strategic,40174.29,248
General industrials%Netherlands%Philips Electronics,32966.97,322
General industrials%Qatar%Industries Qatar,30970.71,343
General industrials%US%3M,89238.19,87
General industrials%US%Danaher,52386.12,181
General industrials%US%Eaton,35754.24,287
General industrials%US%General Electric,259547.3,8
General industrials%US%Honeywell International,72537.63,113
General retailers%Australia%Wesfarmers,43646.15,229
General retailers%France%Kering,25756.24,430
General retailers%Japan%Fast Retailing,38557.71,264
General retailers%Japan%Seven & I Holding,33947.89,303
General retailers%Mexico%Walmex,41799.12,238
General retailers%Spain%Inditex,93555.28,79
General retailers%Sweden%Hennes & Mauritz,62179.73,141
General retailers%US%Amazon.com,154480.4,35
General retailers%US%Costco Wholesale,49125.5,201
General retailers%US%eBay,71516.69,119
General retailers%US%Home Depot,109306.3,59
General retailers%US%Lowe's Companies,49818.13,199
General retailers%US%Target,38313.39,268
General retailers%US%TJX Cos,43134.2,232
General retailers%US%Wal-Mart Stores,246805.7,10
Health care equipment & services%Germany%Fresenius,22676.2,489
Health care equipment & services%US%Aetna,27191.61,407
Health care equipment & services%US%Baxter International,39802.05,252
Health care equipment & services%US%Becton Dickinson,22598.91,490
Health care equipment & services%US%Cigna,22727.13,487
Health care equipment & services%US%Covidien,33170.33,319
Health care equipment & services%US%Express Scripts,58233.2,163
Health care equipment & services%US%HCA Holdings,23297.2,477
Health care equipment & services%US%Medtronic,61590.12,144
Health care equipment & services%US%Stryker,30811.93,346
Health care equipment & services%US%Thermo Fisher Scientific,47109.08,207
Health care equipment & services%US%UnitedHealth Group,81103.75,100
Health care equipment & services%US%Wellpoint,28118.79,387
Household goods & home construction%Germany%Henkel,45536.72,220
Household goods & home construction%UK%Reckitt Benckiser,58682.59,160
Household goods & home construction%US%Procter & Gamble,218539.4,17
Industrial engineering%Japan%Fanuc,42338.62,236
Industrial engineering%Japan%Mitsubishi Electric,24227.28,461
Industrial engineering%Sweden%Atlas Copco,34836.07,294
Industrial engineering%Sweden%Scania,23480.94,474
Industrial engineering%Sweden%Volvo,33866.07,304
Industrial engineering%Switzerland%ABB,59746.49,153
Industrial engineering%US%Caterpillar,63380.36,137
Industrial engineering%US%Cummins,27396.11,401
Industrial engineering%US%Deere,33568.9,310
Industrial engineering%US%Illinois Tool Works,34146.53,302
Industrial engineering%US%Paccar,23917.09,469
Industrial metals & mining%Italy%Tenaris,26049.13,423
Industrial metals & mining%Japan%Nippon Steel & Sumitomo Metal,26022.27,425
Industrial metals & mining%Mexico%Grupo Mexico,24598.2,452
Industrial metals & mining%Netherlands%ArcelorMittal,26843.51,412
Industrial metals & mining%Russia%Norilsk Nickel,26412.96,417
Industrial metals & mining%South Korea%Posco,24244.7,459
Industrial metals & mining%US%Freeport-McMoran Copper & Gold,34340.47,298
Industrial metals & mining%US%Southern Copper,24264.61,458
Industrial transportation%Canada%Canadian National Railway,46521.64,211
Industrial transportation%Canada%Canadian Pacific Railway,26366.02,418
Industrial transportation%Denmark%A P Moller - Maersk,51729.33,185
Industrial transportation%Germany%Deutsche Post,45248.09,221
Industrial transportation%US%CSX,29126.04,368
Industrial transportation%US%Fedex,39173.62,256
Industrial transportation%US%Norfolk Southern,30099.24,353
Industrial transportation%US%Union Pacific,85396.06,94
Industrial transportation%US%United Parcel Service,69094.06,126
Leisure goods%Japan%Panasonic,27940.27,391
Leisure goods%South Korea%Samsung Electronics,208518.64,18
Life insurance%Canada%Great West Lifeco,27582.73,397
Life insurance%Canada%Manulife Financial,35715.06,288
Life insurance%Canada%Power Financial,22055.44,499
Life insurance%China%China Life Insurance,66032,131
Life insurance%China%China Pacific Insurance,25884.98,427
Life insurance%China%Ping An Insurance,54855.46,172
Life insurance%Hong Kong%AIA Group,57137.62,165
Life insurance%Netherlands%ING,54397.23,174
Life insurance%UK%Aviva,23435.36,476
Life insurance%UK%Prudential,54151,175
Life insurance%US%Aflac,28669.51,379
Life insurance%US%Metlife,59492.19,155
Life insurance%US%Prudential Financial,39021.88,260
Media%Canada%Thomson Reuters,27929.92,392
Media%France%Vivendi,37332.01,273
Media%Netherlands%Reed Elsevier,33511.25,313
Media%South Africa%Naspers,45926.36,215
Media%UK%British Sky Broadcasting,23953.92,468
Media%UK%WPP,27540.94,398
Media%US%CBS,34256.45,300
Media%US%Comcast,129376.09,44
Media%US%DirecTV,38970.59,262
Media%US%Liberty Global,39024.25,259
Media%US%Time Warner,58317.54,162
Media%US%Time Warner Cable,38060.73,269
Media%US%Twenty-First Century Fox,71469.77,120
Media%US%Viacom,70105.9,124
Media%US%Walt Disney,140287.3,39
Mining%Australia%BHP Billiton,173490.38,30
Mining%Australia%Rio Tinto,104308.75,64
Mining%Brazil%Vale,71839.32,118
Mining%China%China Shenhua Energy,46493.18,212
Mining%UK%Anglo American,35482.8,290
Mining%UK%Glencore Xstrata,68359.3,128
Mobile telecommunications%Germany%Deutsche Telekom,72175.35,116
Mobile telecommunications%Hong Kong%China Mobile,184573.44,25
Mobile telecommunications%Hong Kong%China Unicom,31274.65,339
Mobile telecommunications%Japan%KDDI,52048.84,184
Mobile telecommunications%Japan%NTT DoCoMo,69002.43,127
Mobile telecommunications%Japan%Softbank,90937.02,85
Mobile telecommunications%Mexico%AMX,45783.34,216
