Europe%UK%British American Tobacco,50553.3,131,75779.2,85,68797.5,79,98888.7,53,104634.79,63
Australia%Australia%Rio Tinto,79423.4,61,154860.3,30,134040.1,35,107200.8,47,104308.75,64
Europe%Germany%BASF,43585,152,66302.1,98,57071.2,110,80222.2,72,102105.49,65
Europe%Germany%Daimler,0,0,86992.4,73,50039.4,134,64197.2,97,101623.97,66
Asia%Taiwan%Taiwan Semiconductor Manufacturing,0,0,53230.8,146,50162.6,133,74554.7,82,100899.13,67
Europe%Denmark%Novo Nordisk,18691.8,405,37025.4,229,39840.7,171,65338.4,95,100804.35,68
Europe%Denmark%Novo Nordisk,0,0,0,0,39840.7,171,65338.4,95,100804.35,68
Europe%Germany%SAP,68458.1,82,62153.9,109,59492.3,97,85605,66,99642.68,69
Australia%Australia%Westpac Banking,31105.1,220,40721,204,76059.5,70,69258.8,89,99587.51,70
Europe%France%L'Oreal,57959.3,107,77851,82,63105.5,92,74020.5,83,99197.51,71
Europe%UK%Vodafone Group,0,0,159336.8,28,121362.3,42,136591.9,36,97106.77,72
North America%US%McDonald's,43178.3,153,64227.1,104,71788.1,76,99920.3,52,97038,73
Asia%China%Sinopec,0,0,135316.6,37,133902.4,36,98109.8,54,96667.84,74
Europe%France%BNP Paribas,77974.2,63,91688.8,68,91195.6,55,57214.7,120,96085.63,75
North America%US%American Express,65039,91,50544.2,155,49376.9,138,67492.3,92,95396.94,76
North America%Canada%Royal Bank Canada,0,0,60415.1,114,83287.4,63,83413.2,67,95246.24,77
Asia%Saudi Arabia%Saudi Basic Industries,175665.9,15,111761.3,49,79596.8,66,87789.9,63,93991.13,78
Europe%Spain%Inditex,24026.1,305,34756.7,244,41165.1,164,59614.5,112,93555.28,79
North America%US%Amgen,86182.1,56,45441.1,176,58135.3,104,53793.6,127,93122.5,80
North America%US%Boeing,62374.1,96,56880.6,129,55013.3,116,55459.2,125,92495.75,81
Europe%France%LVMH,47967.2,141,54730.7,134,57331.3,108,87107.2,64,92323.66,82
Europe%France%LVMH,0,0,0,0,57331.3,108,87107.2,64,92323.66,82
Europe%Russia%Gazprom,196338.5,10,299764.4,4,137995.6,33,145761.1,31,91289.36,83
Europe%Italy%ENI,113813.6,34,137086.9,36,94142.6,53,93819.8,58,91209.19,84
